ride_name,type,design,scale,park_name,ride_status,ride_url,park_url,opened,closed,opened2,closed2,yro_best,yrc_best
joker,steel,wing,extreme,six_flags_great_adventure,operating,https://rcdb.com/13421.htm,https://rcdb.com/4534.htm,20160528,NA,20160528,NA,2016,NA
jersey_devil_coaster,steel,sit_down,extreme,six_flags_great_adventure,operating,https://rcdb.com/17658.htm,https://rcdb.com/4534.htm,20210613,NA,20210613,NA,2021,NA
lil_devil_coaster,steel,sit_down,family,six_flags_great_adventure,operating,https://rcdb.com/19460.htm,https://rcdb.com/4534.htm,20210000,NA,20211111,NA,2021,NA
batman_the_ride,steel,inverted,extreme,six_flags_great_adventure,operating,https://rcdb.com/32.htm,https://rcdb.com/4534.htm,19930501,NA,19930501,NA,1993,NA
skull_mountain,steel,sit_down,family,six_flags_great_adventure,operating,https://rcdb.com/35.htm,https://rcdb.com/4534.htm,19960603,NA,19960603,NA,1996,NA
runaway_mine_train,steel,sit_down,thrill,six_flags_great_adventure,operating,https://rcdb.com/131.htm,https://rcdb.com/4534.htm,19740704,NA,19740704,NA,1974,NA
medusa,steel,sit_down,extreme,six_flags_great_adventure,operating,https://rcdb.com/502.htm,https://rcdb.com/4534.htm,19990402,NA,19990402,NA,1999,NA
harley_quinn_crazy_train,steel,sit_down,family,six_flags_great_adventure,operating,https://rcdb.com/567.htm,https://rcdb.com/4534.htm,19990000,NA,19991111,NA,1999,NA
nitro,steel,sit_down,extreme,six_flags_great_adventure,operating,https://rcdb.com/1106.htm,https://rcdb.com/4534.htm,20010407,NA,20010407,NA,2001,NA
wild_rider,steel,sit_down,thrill,six_flags_great_adventure,defunct,https://rcdb.com/1655.htm,https://rcdb.com/4534.htm,19780000,19800000,19781111,19801111,1978,1980
alpen_blitz,steel,sit_down,thrill,six_flags_great_adventure,defunct,https://rcdb.com/1656.htm,https://rcdb.com/4534.htm,19760000,19780000,19761111,19781111,1976,1978
lil_thunder,steel,sit_down,family,six_flags_great_adventure,defunct,https://rcdb.com/1833.htm,https://rcdb.com/4534.htm,19760000,19830000,19761111,19831111,1976,1983
jumbo_jet,steel,sit_down,thrill,six_flags_great_adventure,defunct,https://rcdb.com/1834.htm,https://rcdb.com/4534.htm,NA,NA,NA,NA,NA,NA
lightnin_loops,steel,sit_down,extreme,six_flags_great_adventure,defunct,https://rcdb.com/585.htm,https://rcdb.com/4534.htm,19780523,19860000,19780523,19861111,1978,1986
road_runner_railway,steel,sit_down,family,six_flags_great_adventure,defunct,https://rcdb.com/566.htm,https://rcdb.com/4534.htm,19990000,20190000,19991111,20191111,1999,2019
rolling_thunder,wood,sit_down,extreme,six_flags_great_adventure,defunct,https://rcdb.com/132.htm,https://rcdb.com/4534.htm,19790000,20130908,19791111,20130908,1979,2013
lightnin_loops,steel,sit_down,extreme,six_flags_great_adventure,defunct,https://rcdb.com/151.htm,https://rcdb.com/4534.htm,19780718,19920000,19780718,19921111,1978,1992
batman_and_robin_the_chiller,steel,sit_down,extreme,six_flags_great_adventure,defunct,https://rcdb.com/424.htm,https://rcdb.com/4534.htm,19980000,20070000,19981111,20071111,1998,2007
sarajevo_bobsled,steel,bobsled,thrill,six_flags_great_adventure,defunct,https://rcdb.com/493.htm,https://rcdb.com/4534.htm,19840000,19880000,19841111,19881111,1984,1988
ultra_twister,steel,pipeline,extreme,six_flags_great_adventure,defunct,https://rcdb.com/45.htm,https://rcdb.com/4534.htm,19860606,19880000,19860606,19881111,1986,1988
shockwave,steel,stand_up,extreme,six_flags_great_adventure,defunct,https://rcdb.com/52.htm,https://rcdb.com/4534.htm,19900000,19920000,19901111,19921111,1990,1992
viper,steel,sit_down,extreme,six_flags_great_adventure,defunct,https://rcdb.com/33.htm,https://rcdb.com/4534.htm,19950600,20040000,19950611,20041111,1995,2004
great_american_scream_machine,steel,sit_down,extreme,six_flags_great_adventure,defunct,https://rcdb.com/34.htm,https://rcdb.com/4534.htm,19890000,20100718,19891111,20100718,1989,2010
big_fury,steel,sit_down,NA,six_flags_great_adventure,defunct,https://rcdb.com/2899.htm,https://rcdb.com/4534.htm,19740000,19770000,19741111,19771111,1974,1977
demon,steel,sit_down,extreme,six_flags_great_america,operating,https://rcdb.com/3.htm,https://rcdb.com/4530.htm,19760529,NA,19760529,NA,1976,NA
batman_the_ride,steel,inverted,extreme,six_flags_great_america,operating,https://rcdb.com/5.htm,https://rcdb.com/4530.htm,19920509,NA,19920509,NA,1992,NA
american_eagle,wood,sit_down,extreme,six_flags_great_america,operating,https://rcdb.com/9.htm,https://rcdb.com/4530.htm,19810523,NA,19810523,NA,1981,NA
viper,wood,sit_down,extreme,six_flags_great_america,operating,https://rcdb.com/10.htm,https://rcdb.com/4530.htm,19950429,NA,19950429,NA,1995,NA
whizzer,steel,sit_down,thrill,six_flags_great_america,operating,https://rcdb.com/113.htm,https://rcdb.com/4530.htm,19760000,NA,19761111,NA,1976,NA
sprocket_rockets,steel,sit_down,family,six_flags_great_america,operating,https://rcdb.com/488.htm,https://rcdb.com/4530.htm,19980000,NA,19981111,NA,1998,NA
raging_bull,steel,sit_down,extreme,six_flags_great_america,operating,https://rcdb.com/535.htm,https://rcdb.com/4530.htm,19990501,NA,19990501,NA,1999,NA
flash_vertical_velocity,steel,inverted,extreme,six_flags_great_america,operating,https://rcdb.com/747.htm,https://rcdb.com/4530.htm,20010518,NA,20010518,NA,2001,NA
superman_ultimate_flight,steel,flying,extreme,six_flags_great_america,operating,https://rcdb.com/1977.htm,https://rcdb.com/4530.htm,20030503,NA,20030503,NA,2003,NA
dark_knight,steel,sit_down,thrill,six_flags_great_america,operating,https://rcdb.com/4046.htm,https://rcdb.com/4530.htm,20080521,NA,20080521,NA,2008,NA
little_dipper,wood,sit_down,family,six_flags_great_america,operating,https://rcdb.com/8985.htm,https://rcdb.com/4530.htm,20100527,NA,20100527,NA,2010,NA
goliath,wood,sit_down,extreme,six_flags_great_america,operating,https://rcdb.com/9972.htm,https://rcdb.com/4530.htm,20140619,NA,20140619,NA,2014,NA
xflight,steel,wing,extreme,six_flags_great_america,operating,https://rcdb.com/10137.htm,https://rcdb.com/4530.htm,20120516,NA,20120516,NA,2012,NA
joker,steel,wing,extreme,six_flags_great_america,operating,https://rcdb.com/14187.htm,https://rcdb.com/4530.htm,20170527,NA,20170527,NA,2017,NA
maxx_force,steel,sit_down,extreme,six_flags_great_america,operating,https://rcdb.com/16586.htm,https://rcdb.com/4530.htm,20190704,NA,20190704,NA,2019,NA
gulf_coaster,steel,sit_down,kiddie,six_flags_great_america,defunct,https://rcdb.com/2300.htm,https://rcdb.com/4530.htm,19760000,19760000,19761111,19761111,1976,1976
ragin_cajun,steel,sit_down,thrill,six_flags_great_america,defunct,https://rcdb.com/2654.htm,https://rcdb.com/4530.htm,20040528,20131027,20040528,20131027,2004,2013
deja_vu,steel,inverted,extreme,six_flags_great_america,defunct,https://rcdb.com/746.htm,https://rcdb.com/4530.htm,20011007,20071028,20011007,20071028,2001,2007
rolling_thunder,steel,bobsled,thrill,six_flags_great_america,defunct,https://rcdb.com/494.htm,https://rcdb.com/4530.htm,19890000,19950000,19891111,19951111,1989,1995
zforce,steel,sit_down,extreme,six_flags_great_america,defunct,https://rcdb.com/126.htm,https://rcdb.com/4530.htm,19850000,19870000,19851111,19871111,1985,1987
tidal_wave,steel,sit_down,extreme,six_flags_great_america,defunct,https://rcdb.com/38.htm,https://rcdb.com/4530.htm,19780000,19910000,19781111,19911111,1978,1991
iron_wolf,steel,sit_down,extreme,six_flags_great_america,defunct,https://rcdb.com/6.htm,https://rcdb.com/4530.htm,19900428,20110905,19900428,20110905,1990,2011
shockwave,steel,sit_down,extreme,six_flags_great_america,defunct,https://rcdb.com/4.htm,https://rcdb.com/4530.htm,19880603,20020000,19880603,20021111,1988,2002
carolina_cyclone,steel,sit_down,extreme,carowinds,operating,https://rcdb.com/81.htm,https://rcdb.com/4542.htm,19800322,NA,19800322,NA,1980,NA
woodstock_express,wood,sit_down,family,carowinds,operating,https://rcdb.com/82.htm,https://rcdb.com/4542.htm,19750000,NA,19751111,NA,1975,NA
carolina_goldrusher,steel,sit_down,thrill,carowinds,operating,https://rcdb.com/83.htm,https://rcdb.com/4542.htm,19730000,NA,19731111,NA,1973,NA
hurler,wood,sit_down,extreme,carowinds,operating,https://rcdb.com/85.htm,https://rcdb.com/4542.htm,19940000,NA,19941111,NA,1994,NA
vortex,steel,stand_up,extreme,carowinds,operating,https://rcdb.com/86.htm,https://rcdb.com/4542.htm,19920314,NA,19920314,NA,1992,NA
wilderness_run,steel,sit_down,family,carowinds,operating,https://rcdb.com/498.htm,https://rcdb.com/4542.htm,19980000,NA,19981111,NA,1998,NA
afterburn,steel,inverted,extreme,carowinds,operating,https://rcdb.com/527.htm,https://rcdb.com/4542.htm,19990320,NA,19990320,NA,1999,NA
ricochet,steel,sit_down,thrill,carowinds,operating,https://rcdb.com/1478.htm,https://rcdb.com/4542.htm,20020000,NA,20021111,NA,2002,NA
kiddy_hawk,steel,inverted,family,carowinds,operating,https://rcdb.com/1897.htm,https://rcdb.com/4542.htm,20030322,NA,20030322,NA,2003,NA
nighthawk,steel,flying,extreme,carowinds,operating,https://rcdb.com/2514.htm,https://rcdb.com/4542.htm,20040320,NA,20040320,NA,2004,NA
flying_cobras,steel,sit_down,extreme,carowinds,operating,https://rcdb.com/4269.htm,https://rcdb.com/4542.htm,20090328,NA,20090328,NA,2009,NA
intimidator,steel,sit_down,extreme,carowinds,operating,https://rcdb.com/8588.htm,https://rcdb.com/4542.htm,20100327,NA,20100327,NA,2010,NA
fury_325,steel,sit_down,extreme,carowinds,operating,https://rcdb.com/12273.htm,https://rcdb.com/4542.htm,20150328,NA,20150328,NA,2015,NA
copperhead_strike,steel,sit_down,extreme,carowinds,operating,https://rcdb.com/16349.htm,https://rcdb.com/4542.htm,20190323,NA,20190323,NA,2019,NA
flying_super_saturator,steel,suspended,family,carowinds,defunct,https://rcdb.com/598.htm,https://rcdb.com/4542.htm,20000401,20080000,20000401,20081111,2000,2008
white_lightnin,steel,sit_down,extreme,carowinds,defunct,https://rcdb.com/667.htm,https://rcdb.com/4542.htm,19770514,19881016,19770514,19881016,1977,1988
thunder_road,wood,sit_down,extreme,carowinds,defunct,https://rcdb.com/84.htm,https://rcdb.com/4542.htm,19760403,20150726,19760403,20150726,1976,2015
shock_wave,steel,sit_down,extreme,six_flags_over_texas,operating,https://rcdb.com/28.htm,https://rcdb.com/4531.htm,19780422,NA,19780422,NA,1978,NA
judge_roy_scream,wood,sit_down,thrill,six_flags_over_texas,operating,https://rcdb.com/29.htm,https://rcdb.com/4531.htm,19800301,NA,19800301,NA,1980,NA
runaway_mine_train,steel,sit_down,thrill,six_flags_over_texas,operating,https://rcdb.com/30.htm,https://rcdb.com/4531.htm,19660723,NA,19660723,NA,1966,NA
runaway_mountain,steel,sit_down,thrill,six_flags_over_texas,operating,https://rcdb.com/31.htm,https://rcdb.com/4531.htm,19960000,NA,19961111,NA,1996,NA
mini_mine_train,steel,sit_down,family,six_flags_over_texas,operating,https://rcdb.com/97.htm,https://rcdb.com/4531.htm,19690000,NA,19691111,NA,1969,NA
la_vibora,steel,bobsled,thrill,six_flags_over_texas,operating,https://rcdb.com/99.htm,https://rcdb.com/4531.htm,19860000,NA,19861111,NA,1986,NA
mr_freeze,steel,sit_down,extreme,six_flags_over_texas,operating,https://rcdb.com/281.htm,https://rcdb.com/4531.htm,19980000,NA,19981111,NA,1998,NA
batman_the_ride,steel,inverted,extreme,six_flags_over_texas,operating,https://rcdb.com/552.htm,https://rcdb.com/4531.htm,19990526,NA,19990526,NA,1999,NA
titan,steel,sit_down,extreme,six_flags_over_texas,operating,https://rcdb.com/742.htm,https://rcdb.com/4531.htm,20010427,NA,20010427,NA,2001,NA
wile_e_coyotes_grand_canyon_blaster,steel,sit_down,family,six_flags_over_texas,operating,https://rcdb.com/1117.htm,https://rcdb.com/4531.htm,20010310,NA,20010310,NA,2001,NA
pandemonium,steel,sit_down,thrill,six_flags_over_texas,operating,https://rcdb.com/4042.htm,https://rcdb.com/4531.htm,20080517,NA,20080517,NA,2008,NA
new_texas_giant,steel,sit_down,extreme,six_flags_over_texas,operating,https://rcdb.com/11662.htm,https://rcdb.com/4531.htm,20110422,NA,20110422,NA,2011,NA
joker,steel,wing,extreme,six_flags_over_texas,operating,https://rcdb.com/14188.htm,https://rcdb.com/4531.htm,20170520,NA,20170520,NA,2017,NA
aquaman_power_wave,steel,sit_down,extreme,six_flags_over_texas,operating,https://rcdb.com/17653.htm,https://rcdb.com/4531.htm,20230311,NA,20230311,NA,2023,NA
texas_giant,wood,sit_down,extreme,six_flags_over_texas,defunct,https://rcdb.com/2.htm,https://rcdb.com/4531.htm,19900317,20091101,19900317,20091101,1990,2009
flashback,steel,sit_down,extreme,six_flags_over_texas,defunct,https://rcdb.com/8.htm,https://rcdb.com/4531.htm,19890000,20120903,19891111,20120903,1989,2012
